id_tipo_pizza,nombre,categoria,ingredientes
hawaiana_m,Pizza Hawaiana,Clasica,"Jamon en Lonjas, Pina, Queso Mozzarella"
clasica_dlx_m,La Clasica Deluxe,Clasica,"Pepperoni, Champinon, Cebolla Roja, Pimiento Rojo, Tocino"
cinco_quesos_g,Pizza Cinco Quesos,Vegetariana,"Queso Mozzarella, Queso Provolone, Queso Gouda Ahumado, Queso Romano, Queso Azul, Ajo"
supr_italiana_g,Pizza Suprema Italiana,Suprema,"Salami Calabres, Capocollo, Tomate, Cebolla Roja, Aceituna Verde, Ajo"
mexicana_m,Pizza Mexicana,Vegetariana,"Tomate, Pimiento Rojo, Chile Jalapeno, Cebolla Roja, Cilantro, Maiz, Salsa Chipotle, Ajo"
pollo_tai_g,Pizza Pollo Thai,Pollo,"Pollo, Pina, Tomate, Pimiento Rojo, Salsa Dulce de Chile Thai"
supr_italiana_m,Pizza Suprema Italiana,Suprema,"Salami Calabres, Capocollo, Tomate, Cebolla Roja, Aceituna Verde, Ajo"
prsc_rucula_g,Pizza Prosciutto y Rucula,Suprema,"Prosciutto di San Daniele, Rucula, Queso Mozzarella"
pollo_bbq_p,Pizza Pollo BBQ,Pollo,"Pollo a la Barbacoa, Pimiento Rojo, Pimiento Verde, Tomate, Cebolla Roja, Salsa Barbacoa"
griega_p,Pizza Griega,Clasica,"Aceituna Kalamata, Queso Feta, Tomate, Ajo, Carne de Res, Cebolla Roja"
supr_espinaca_p,Pizza Suprema de Espinaca,Suprema,"Espinaca, Cebolla Roja, Pepperoni, Tomate, Alcachofa, Aceituna Kalamata, Ajo, Queso Asiago"
clasica_dlx_p,La Clasica Deluxe,Clasica,"Pepperoni, Champinon, Cebolla Roja, Pimiento Rojo, Tocino"
jardin_verde_p,Pizza Jardin Verde,Vegetariana,"Espinaca, Champinon, Tomate, Aceituna Verde, Queso Feta"
capocollo_ital_g,Pizza Capocollo Italiano,Clasica,"Capocollo, Pimiento Rojo, Tomate, Queso de Cabra, Ajo, Oregano"
supr_italiana_p,Pizza Suprema Italiana,Suprema,"Salami Calabres, Capocollo, Tomate, Cebolla Roja, Aceituna Verde, Ajo"
mexicana_p,Pizza Mexicana,Vegetariana,"Tomate, Pimiento Rojo, Chile Jalapeno, Cebolla Roja, Cilantro, Maiz, Salsa Chipotle, Ajo"
ital_picante_g,Pizza Italiana Picante,Suprema,"Capocollo, Tomate, Queso de Cabra, Alcachofa, Peperoncini Verde, Ajo"
espinaca_pesto_g,Pizza Espinaca con Pesto,Vegetariana,"Espinaca, Alcachofa, Tomate, Tomate Seco, Ajo, Salsa Pesto"
veg_veg_p,Pizza Vegetales,Vegetariana,"Champinon, Tomate, Pimiento Rojo, Pimiento Verde, Cebolla Roja, Calabacin, Espinaca, Ajo"
mexicana_g,Pizza Mexicana,Vegetariana,"Tomate, Pimiento Rojo, Chile Jalapeno, Cebolla Roja, Cilantro, Maiz, Salsa Chipotle, Ajo"
pollo_suroeste_g,Pizza Pollo del Suroeste,Pollo,"Pollo, Tomate, Pimiento Rojo, Cebolla Roja, Chile Jalapeno, Maiz, Cilantro, Salsa Chipotle"
pollo_bbq_g,Pizza Pollo BBQ,Pollo,"Pollo a la Barbacoa, Pimiento Rojo, Pimiento Verde, Tomate, Cebolla Roja, Salsa Barbacoa"
pollo_cali_g,Pizza Pollo California,Pollo,"Pollo, Alcachofa, Espinaca, Ajo, Chile Jalapeno, Queso Fontina, Queso Gouda"
pollo_cali_m,Pizza Pollo California,Pollo,"Pollo, Alcachofa, Espinaca, Ajo, Chile Jalapeno, Queso Fontina, Queso Gouda"
pepperoni_g,Pizza Pepperoni,Clasica,"Queso Mozzarella, Pepperoni"
pollo_cali_p,Pizza Pollo California,Pollo,"Pollo, Alcachofa, Espinaca, Ajo, Chile Jalapeno, Queso Fontina, Queso Gouda"
pollo_pesto_g,Pizza Pollo con Pesto,Pollo,"Pollo, Tomate, Pimiento Rojo, Espinaca, Ajo, Salsa Pesto"
gran_carne_p,Pizza Gran Carne,Clasica,"Tocino, Pepperoni, Salchicha Italiana, Chorizo"
soppressata_g,Pizza Soppressata,Suprema,"Salami Soppressata, Queso Fontina, Queso Mozzarella, Champinon, Ajo"
cuatro_quesos_g,Pizza Cuatro Quesos,Vegetariana,"Queso Ricotta, Queso Gorgonzola Piccante, Queso Mozzarella, Queso Parmigiano Reggiano, Ajo"
napolitana_p,Pizza Napolitana,Clasica,"Tomate, Anchoa, Aceituna Verde, Cebolla Roja, Ajo"
calabresa_m,Pizza Calabresa,Suprema,"Salami Nduja, Panceta, Tomate, Cebolla Roja, Pimiento Friggitello, Ajo"
cuatro_quesos_m,Pizza Cuatro Quesos,Vegetariana,"Queso Ricotta, Queso Gorgonzola Piccante, Queso Mozzarella, Queso Parmigiano Reggiano, Ajo"
ital_veggie_p,Pizza Verduras Italianas,Vegetariana,"Berenjena, Alcachofa, Tomate, Calabacin, Pimiento Rojo, Ajo, Salsa Pesto"
mediterranea_m,Pizza Mediterranea,Vegetariana,"Espinaca, Alcachofa, Aceituna Kalamata, Tomate Seco, Queso Feta, Tomate Ciruela, Cebolla Roja"
salami_peppr_p,Pizza Salami Picante,Suprema,"Salami de Genova, Capocollo, Pepperoni, Tomate, Queso Asiago, Ajo"
espinaca_feta_g,Pizza Espinaca y Feta,Vegetariana,"Espinaca, Champinon, Cebolla Roja, Queso Feta, Ajo"
napolitana_g,Pizza Napolitana,Clasica,"Tomate, Anchoa, Aceituna Verde, Cebolla Roja, Ajo"
siciliana_g,Pizza Siciliana,Suprema,"Salami Siciliano, Tomate, Aceituna Verde, Salchicha Luganega, Cebolla, Ajo"
capocollo_ital_m,Pizza Capocollo Italiano,Clasica,"Capocollo, Pimiento Rojo, Tomate, Queso de Cabra, Ajo, Oregano"
pollo_suroeste_p,Pizza Pollo del Suroeste,Pollo,"Pollo, Tomate, Pimiento Rojo, Cebolla Roja, Chile Jalapeno, Maiz, Cilantro, Salsa Chipotle"
pollo_bbq_m,Pizza Pollo BBQ,Pollo,"Pollo a la Barbacoa, Pimiento Rojo, Pimiento Verde, Tomate, Cebolla Roja, Salsa Barbacoa"
pepperoni_m,Pizza Pepperoni,Clasica,"Queso Mozzarella, Pepperoni"
prsc_rucula_p,Pizza Prosciutto y Rucula,Suprema,"Prosciutto di San Daniele, Rucula, Queso Mozzarella"
siciliana_m,Pizza Siciliana,Suprema,"Salami Siciliano, Tomate, Aceituna Verde, Salchicha Luganega, Cebolla, Ajo"
veg_veg_g,Pizza Vegetales,Vegetariana,"Champinon, Tomate, Pimiento Rojo, Pimiento Verde, Cebolla Roja, Calabacin, Espinaca, Ajo"
pollo_alfredo_p,Pizza Pollo Alfredo,Pollo,"Pollo, Cebolla Roja, Pimiento Rojo, Champinon, Queso Asiago, Salsa Alfredo"
pepperoni_p,Pizza Pepperoni,Clasica,"Queso Mozzarella, Pepperoni"
jardin_verde_g,Pizza Jardin Verde,Vegetariana,"Espinaca, Champinon, Tomate, Aceituna Verde, Queso Feta"
jardin_verde_m,Pizza Jardin Verde,Vegetariana,"Espinaca, Champinon, Tomate, Aceituna Verde, Queso Feta"
pep_msh_pep_g,"Pizza Pepperoni, Champinones y Pimientos",Clasica,"Pepperoni, Champinon, Pimiento Verde"
hawaiana_p,Pizza Hawaiana,Clasica,"Jamon en Lonjas, Pina, Queso Mozzarella"
salami_peppr_m,Pizza Salami Picante,Suprema,"Salami de Genova, Capocollo, Pepperoni, Tomate, Queso Asiago, Ajo"
pollo_alfredo_m,Pizza Pollo Alfredo,Pollo,"Pollo, Cebolla Roja, Pimiento Rojo, Champinon, Queso Asiago, Salsa Alfredo"
salami_peppr_g,Pizza Salami Picante,Suprema,"Salami de Genova, Capocollo, Pepperoni, Tomate, Queso Asiago, Ajo"
espinaca_pesto_p,Pizza Espinaca con Pesto,Vegetariana,"Espinaca, Alcachofa, Tomate, Tomate Seco, Ajo, Salsa Pesto"
pollo_tai_m,Pizza Pollo Thai,Pollo,"Pollo, Pina, Tomate, Pimiento Rojo, Salsa Dulce de Chile Thai"
clasica_dlx_g,La Clasica Deluxe,Clasica,"Pepperoni, Champinon, Cebolla Roja, Pimiento Rojo, Tocino"
pollo_pesto_m,Pizza Pollo con Pesto,Pollo,"Pollo, Tomate, Pimiento Rojo, Espinaca, Ajo, Salsa Pesto"
griega_exg,Pizza Griega,Clasica,"Aceituna Kalamata, Queso Feta, Tomate, Ajo, Carne de Res, Cebolla Roja"
hawaiana_g,Pizza Hawaiana,Clasica,"Jamon en Lonjas, Pina, Queso Mozzarella"
pep_msh_pep_p,"Pizza Pepperoni, Champinones y Pimientos",Clasica,"Pepperoni, Champinon, Pimiento Verde"
supr_espinaca_m,Pizza Suprema de Espinaca,Suprema,"Espinaca, Cebolla Roja, Pepperoni, Tomate, Alcachofa, Aceituna Kalamata, Ajo, Queso Asiago"
prsc_rucula_m,Pizza Prosciutto y Rucula,Suprema,"Prosciutto di San Daniele, Rucula, Queso Mozzarella"
mediterranea_g,Pizza Mediterranea,Vegetariana,"Espinaca, Alcachofa, Aceituna Kalamata, Tomate Seco, Queso Feta, Tomate Ciruela, Cebolla Roja"
pollo_suroeste_m,Pizza Pollo del Suroeste,Pollo,"Pollo, Tomate, Pimiento Rojo, Cebolla Roja, Chile Jalapeno, Maiz, Cilantro, Salsa Chipotle"
pep_msh_pep_m,"Pizza Pepperoni, Champinones y Pimientos",Clasica,"Pepperoni, Champinon, Pimiento Verde"
siciliana_p,Pizza Siciliana,Suprema,"Salami Siciliano, Tomate, Aceituna Verde, Salchicha Luganega, Cebolla, Ajo"
ital_picante_p,Pizza Italiana Picante,Suprema,"Capocollo, Tomate, Queso de Cabra, Alcachofa, Peperoncini Verde, Ajo"
pollo_tai_p,Pizza Pollo Thai,Pollo,"Pollo, Pina, Tomate, Pimiento Rojo, Salsa Dulce de Chile Thai"
supr_espinaca_g,Pizza Suprema de Espinaca,Suprema,"Espinaca, Cebolla Roja, Pepperoni, Tomate, Alcachofa, Aceituna Kalamata, Ajo, Queso Asiago"
ital_veggie_g,Pizza Verduras Italianas,Vegetariana,"Berenjena, Alcachofa, Tomate, Calabacin, Pimiento Rojo, Ajo, Salsa Pesto"
veg_veg_m,Pizza Vegetales,Vegetariana,"Champinon, Tomate, Pimiento Rojo, Pimiento Verde, Cebolla Roja, Calabacin, Espinaca, Ajo"
griega_m,Pizza Griega,Clasica,"Aceituna Kalamata, Queso Feta, Tomate, Ajo, Carne de Res, Cebolla Roja"
pollo_pesto_p,Pizza Pollo con Pesto,Pollo,"Pollo, Tomate, Pimiento Rojo, Espinaca, Ajo, Salsa Pesto"
espinaca_feta_p,Pizza Espinaca y Feta,Vegetariana,"Espinaca, Champinon, Cebolla Roja, Queso Feta, Ajo"
ital_picante_m,Pizza Italiana Picante,Suprema,"Capocollo, Tomate, Queso de Cabra, Alcachofa, Peperoncini Verde, Ajo"
ital_veggie_m,Pizza Verduras Italianas,Vegetariana,"Berenjena, Alcachofa, Tomate, Calabacin, Pimiento Rojo, Ajo, Salsa Pesto"
capocollo_ital_p,Pizza Capocollo Italiano,Clasica,"Capocollo, Pimiento Rojo, Tomate, Queso de Cabra, Ajo, Oregano"
mediterranea_p,Pizza Mediterranea,Vegetariana,"Espinaca, Alcachofa, Aceituna Kalamata, Tomate Seco, Queso Feta, Tomate Ciruela, Cebolla Roja"
espinaca_feta_m,Pizza Espinaca y Feta,Vegetariana,"Espinaca, Champinon, Cebolla Roja, Queso Feta, Ajo"
napolitana_m,Pizza Napolitana,Clasica,"Tomate, Anchoa, Aceituna Verde, Cebolla Roja, Ajo"
espinaca_pesto_m,Pizza Espinaca con Pesto,Vegetariana,"Espinaca, Alcachofa, Tomate, Tomate Seco, Ajo, Salsa Pesto"
brie_carre_p,Pizza Brie Carre,Suprema,"Queso Brie Carre, Prosciutto, Cebolla Caramelizada, Pera, Tomillo, Ajo"
pollo_alfredo_g,Pizza Pollo Alfredo,Pollo,"Pollo, Cebolla Roja, Pimiento Rojo, Champinon, Queso Asiago, Salsa Alfredo"
calabresa_p,Pizza Calabresa,Suprema,"Salami Nduja, Panceta, Tomate, Cebolla Roja, Pimiento Friggitello, Ajo"
griega_g,Pizza Griega,Clasica,"Aceituna Kalamata, Queso Feta, Tomate, Ajo, Carne de Res, Cebolla Roja"
soppressata_m,Pizza Soppressata,Suprema,"Salami Soppressata, Queso Fontina, Queso Mozzarella, Champinon, Ajo"
soppressata_p,Pizza Soppressata,Suprema,"Salami Soppressata, Queso Fontina, Queso Mozzarella, Champinon, Ajo"
calabresa_g,Pizza Calabresa,Suprema,"Salami Nduja, Panceta, Tomate, Cebolla Roja, Pimiento Friggitello, Ajo"
griega_doexg,Pizza Griega,Clasica,"Aceituna Kalamata, Queso Feta, Tomate, Ajo, Carne de Res, Cebolla Roja"
